Game,Revenue,,,,,
Honor of Kings / Arena of Valor,14667500000,,,,,
Monster Strike,10000000000,,,,,
PUBG Mobile,9000000000,,,,,
Puzzle & Dragons,8578340000,,,,,
Clash of Clans,8000000000,,,,,
Pokémon Go,7760000000,,,,,
Candy Crush Saga,7456000000,,,,,
Fate/Grand Order,6300000000,,,,,
Fantasy Westward Journey,4700000000,,,,,
Garena Free Fire,4330000000,,,,,
Roblox Mobile,3919000000,,,,,
Genshin Impact,3567000000,,,,,
Lineage M,3578000000,,,,,
Dragon Ball Z: Dokkan Battle,3500000000,,,,,
Coin Master,3008000000,,,,,
Clash Royale,3000000000,,,,,
Gardenscapes,3000000000,,,,,
Game of War: Fire Age,2800000000,,,,,
Lords Mobile,2576700000,,,,,
Homescapes,2294000000,,,,,
Pro Yakyū Spirits A / Pro Baseball Spirits A,2200000000,,,,,
Lineage 2: Revolution,2106770000,,,,,
Candy Crush Soda Saga,2000000000,,,,,
Three Kingdoms Tactics,1936200000,,,,,
Marvel Contest of Champions,1784000000,,,,,
Toon Blast,1600000000,,,,,
Disney Tsum Tsum,1500000000,,,,,
Call of Duty: Mobile,1500000000,,,,,
Knives Out,1485270000,,,,,
AFK Arena,1450000000,,,,,
Lineage 2 M,1413000000,,,,,
Hay Day,1400000000,,,,,
Brawl Stars,1400000000,,,,,
Summoners War: Sky Arena,1350000000,,,,,
Fortnite,1200000000,,,,,
Onmyoji,1129000000,,,,,
Star Wars: Galaxy of Heroes,1071000000,,,,,
Boom Beach,1000000000,,,,,
Mobile Strike,1000000000,,,,,
Mobile Legends: Bang Bang,1000000000,,,,,
Fire Emblem Heroes,1000000000,,,,,
Uma Musume Pretty Derby,990000000,,,,,
QQ Speed Mobile / Speed Drifters,945000000,,,,,
Dragon Ball Legends,930000000,,,,,
Dragon Quest Walk,927720000,,,,,
Rise of Kingdoms,926000000,,,,,
Fishdom,923600000,,,,,
Township,922100000,,,,,
A Chinese Ghost Story,860000000,,,,,
Marvel Strike Force,846000000,,,,,
Toy Blast,820000000,,,,,
Granblue Fantasy,754200000,,,,,
Honkai Impact 3rd,731000000,,,,,
King of Avalon,721000000,,,,,
Clash of Kings,700000000,,,,,
The Seven Deadly Sins: Grand Cross,680000000,,,,,
Hearthstone,660000000,,,,,
The Battle Cats,600000000,,,,,
The Idolmaster Cinderella Girls: Starlight Stage,524000000,,,,,
Final Fantasy XV: A New Empire,518400000,,,,,
Guns of Glory,510000000,,,,,
League of Legends: Wild Rift,505000000,,,,,
Minecraft,500000000,,,,,
Crossfire Mobile,458000000,,,,,
Blade & Soul Revolution,457000000,,,,,
Bingo Blitz,443000000,,,,,
Harry Potter: Hogwarts Mystery,401000000,,,,,
8 Ball Pool,400000000,,,,,
Harry Potter: Magic Awakened,358000000,,,,,
Angry Birds 2,332500000,,,,,
FIFA Mobile / FIFA Soccer,308700000,,,,,
Lineage W,302985000,,,,,
Black Desert Mobile,300000000,,,,,
Yu-Gi-Oh! Duel Links,284000000,,,,,
Mario Kart Tour,282000000,,,,,
Animal Crossing: Pocket Camp,282000000,,,,,
#COMPASS,281000000,,,,,
Raid: Shadow Legends,247000000,,,,,
Star Trek Fleet Command,222000000,,,,,
Project Makeover,218000000,,,,,
Harry Potter: Puzzles & Spells,218000000,,,,,
DomiNations,200000000,,,,,
Candy Crush Friends Saga,200000000,,,,,
Top War,192000000,,,,,
Empire & Puzzles,186000000,,,,,
KartRider Rush+,169000000,,,,,
Dragalia Lost,168000000,,,,,
Perfect World Mobile,165000000,,,,,
Three Kingdoms Fantasy Land,161600000,,,,,
Candy Crush Jelly Saga,158000000,,,,,
Jikkyō Powerful Pro Yakyū,155000000,,,,,
Puzzles & Survival,151000000,,,,,
Slotomania,149000000,,,,,
NBA Live Mobile,140000000,,,,,
White Cat Project,134000000,,,,,
BanG Dream! Girls Band Party!,124050000,,,,,
CSR Racing 2,121500000,,,,,
One Piece: Burning Will,117000000,,,,,
One Piece: The Road of the Strong,113840000,,,,,
Yahtzee With Buddies,113000000,,,,,
Dragon Quest Tact,111990000,,,,,
Fallout Shelter,100000000,,,,,
Mafia City,100000000,,,,,
Madden NFL Overdrive,100000000,,,,,
